[10:29:24]  8.01 H:8.06 L:7.76 | PnL:+0.88%(+21元) | 离止损:+3.0% 
[11:17:26]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:17:31]  7.95 H:8.06 L:7.76 | PnL:+0.13%(+3元) | 离止损:+2.2% 
[11:17:38]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:18:34]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:18:37]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:18:45]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:19:30]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:19:34]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:19:38]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:19:46]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:19:50]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:19:55]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:19:58]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:20:06]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:20:21]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:20:41]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:20:53]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:21:00]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:21:08]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:21:17]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:21:36]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:21:40]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:22:03]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:22:14]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:22:18]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:22:22]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:22:40]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:22:44]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:22:52]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:22:56]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:23:08]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:23:12]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:23:33]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:23:37]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:23:48]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:23:55]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:24:56]  7.92 H:8.06 L:7.76 | PnL:-0.25%(-6元) | 离止损:+1.8% 
[11:25:17]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:25:21]  7.92 H:8.06 L:7.76 | PnL:-0.25%(-6元) | 离止损:+1.8% 
[11:25:31]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:25:35]  7.92 H:8.06 L:7.76 | PnL:-0.25%(-6元) | 离止损:+1.8% 
[11:26:03]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:26:07]  7.92 H:8.06 L:7.76 | PnL:-0.25%(-6元) | 离止损:+1.8% 
[11:26:10]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:26:14]  7.92 H:8.06 L:7.76 | PnL:-0.25%(-6元) | 离止损:+1.8% 
[11:26:21]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:26:24]  7.92 H:8.06 L:7.76 | PnL:-0.25%(-6元) | 离止损:+1.8% 
[11:26:35]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:26:41]  7.92 H:8.06 L:7.76 | PnL:-0.25%(-6元) | 离止损:+1.8% 
[11:26:45]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:26:48]  7.92 H:8.06 L:7.76 | PnL:-0.25%(-6元) | 离止损:+1.8% 
[11:26:52]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:26:55]  7.92 H:8.06 L:7.76 | PnL:-0.25%(-6元) | 离止损:+1.8% 
[11:26:59]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:27:06]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:27:43]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:27:46]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:27:53]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:28:18]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:28:22]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:28:25]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:28:32]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:28:39]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:28:51]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:28:54]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:28:58]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:29:19]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:29:23]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:29:26]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:29:37]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[11:29:41]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[11:29:55]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[13:02:36]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[13:02:45]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[13:02:52]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[13:03:14]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[13:03:18]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[13:03:37]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[13:03:58]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[13:04:02]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[13:04:13]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[13:04:23]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
[13:04:27]  7.93 H:8.06 L:7.76 | PnL:-0.13%(-3元) | 离止损:+1.9% 
[13:04:45]  7.94 H:8.06 L:7.76 | PnL:+0.00%(+0元) | 离止损:+2.1% 
